TUpprol,IMpkill,IMinfluxProb
0.64069433,0.969962024,0.824565447
0.739577921,0.543929483,0.505377387
0.688964956,0.833295457,0.640512017
0.917675663,0.536596337,0.338965429
0.579363748,0.748712347,0.945248414
0.7079833,0.753543601,0.744237611
0.272513434,0.477759973,0.870579397
0.270297285,0.488977976,0.960553903
0.917779801,0.825643588,0.106603702
0.785012639,0.287921224,0.520495746
0.943826268,0.83217975,0.57342273
0.987350697,0.313016441,0.603701559
0.707624789,0.199903293,0.110919123
0.509668447,0.746457599,0.668191948
0.230157722,0.37588208,0.893493905
0.346234045,0.611158267,0.677883381
0.82204315,0.695763508,0.691443614
0.515735555,0.981765583,0.841484955
0.338472653,0.428557208,0.996302317
0.268449042,0.390349132,0.950411424
0.32928165,0.156326618,0.74487957
0.749109059,0.580734143,0.523536113
0.664013664,0.835812317,0.258621604
0.926052485,0.795629983,0.13006785
0.32036147,0.939278002,0.926718345
0.334521911,0.739372062,0.929768192
0.339053902,0.357331438,0.615672705
0.290168175,0.214247314,0.827891492
0.831774143,0.963112812,0.575567553
0.857003429,0.941622627,0.288721702
0.571868503,0.517355196,0.692665313
0.579720483,0.102629765,0.398283076
0.407493068,0.474591777,0.842352787
0.722658781,0.143525555,0.122550108
0.710762989,0.421534295,0.763517564
0.30500216,0.674271971,0.84291484
0.71318624,0.851721441,0.989161455
0.761998493,0.631387891,0.429081337
0.253524534,0.205381133,0.824150245
0.456315904,0.650525245,0.154193698
0.67687689,0.831043768,0.759935185
0.633392231,0.190809743,0.593951695
0.677669679,0.503246957,0.898121729
0.775074163,0.10738468,0.226431441
0.181423805,0.161642424,0.800482389
0.849348026,0.274274523,0.773165836
0.602811417,0.50306802,0.895282793
0.97401459,0.300373173,0.55209332
0.832901383,0.740477859,0.225167111
0.210450797,0.446397863,0.936815313
0.24776422,0.728895935,0.850827303
0.589298715,0.874301467,0.172398349
0.765422204,0.257146939,0.8652277
0.571012827,0.904673326,0.156827665
0.735939315,0.455719415,0.119727306
0.891901926,0.639763649,0.231133907
0.379268464,0.733365067,0.535733444
0.419912756,0.807684712,0.872104943
0.835944241,0.10153257,0.778254967
0.424055458,0.320064885,0.707297363
0.437095369,0.8136148,0.778617452
0.618539885,0.875466666,0.834387006
0.309656949,0.934797119,0.838540489
0.341547557,0.571870061,0.444573131
0.495811985,0.927511251,0.860266051
0.444757672,0.898768023,0.846250442
0.36496914,0.85995605,0.797321149
0.486495226,0.279112044,0.220267561
0.62959935,0.860811178,0.977817655
0.87047144,0.383006932,0.753035322
0.86534562,0.616728242,0.478767493
0.875288788,0.192188753,0.795780497
0.868558546,0.113561399,0.578737419
0.354766334,0.204814321,0.720284043
0.452545523,0.49181366,0.818602986
0.356498989,0.787396964,0.83562426
0.676624323,0.284337818,0.186053196
0.995849936,0.396739112,0.587356143
0.834932141,0.820210956,0.777343613
0.896421159,0.27138337,0.138281952
0.580834167,0.897891935,0.562612347
0.328790775,0.970528165,0.838115776
0.196126403,0.104379011,0.919866023
0.73307435,0.891532219,0.973149583
0.592586258,0.601725726,0.852528715
0.778740442,0.67776799,0.171608015
0.379870581,0.120538211,0.80710799
0.810806706,0.948064909,0.603250584
0.597100755,0.583275121,0.882873715
0.396954318,0.454428629,0.868409165
0.72462475,0.681678202,0.608832311
0.579526153,0.451854437,0.824955715
0.314849486,0.40321649,0.975912428
0.350172645,0.790532487,0.622404327
0.782992627,0.231148632,0.8059069
0.571379212,0.127316015,0.35647086
0.484919572,0.158310402,0.993532271
0.207659054,0.338100676,0.954998098
0.27721725,0.198312814,0.69688916
0.779692674,0.828440578,0.999865215
0.372563544,0.350764654,0.981573901
0.349352113,0.483442264,0.558234735
0.465120031,0.74253199,0.981265575
0.228316771,0.849705014,0.722983673
0.684422623,0.509555135,0.712322237
0.681031437,0.73409076,0.431973823
0.975770599,0.518877383,0.383437353
0.608674257,0.419023863,0.312680423
0.981603235,0.93507336,0.268602657
0.383839927,0.472065397,0.147945979
0.559662017,0.675185867,0.206948927
0.911408106,0.804033593,0.317557849
0.994249078,0.918236636,0.102088241
0.922922673,0.32942493,0.495087707
0.798018527,0.83070457,0.156489343
0.141589117,0.125870652,0.373431153
0.95941616,0.212474678,0.506123256
0.811838832,0.759570286,0.274307814
0.586279756,0.99125769,0.88091249
0.90150161,0.660072149,0.778874129
0.644642519,0.157067898,0.158803049
0.520652191,0.467777042,0.749675955
0.622308504,0.119825279,0.960294826
0.445532974,0.455576439,0.939924554
0.911378709,0.750709481,0.746519989
0.336871079,0.788261141,0.114506634
0.914033983,0.787305373,0.628568138
0.643078833,0.193622334,0.889461445
0.609658366,0.646705786,0.666624081
0.654357093,0.994247121,0.208137664
0.518241984,0.287263318,0.382146197
0.714233305,0.492111069,0.825886193
0.624563646,0.346639995,0.342876837
0.61513122,0.356107237,0.69564442
0.964445749,0.89966762,0.13381641
0.932571922,0.323164565,0.806166338
0.868986677,0.359439996,0.915297861
0.920026891,0.640677412,0.878584739
0.910686799,0.442712728,0.856233622
0.675260982,0.168193736,0.500593438
0.98413127,0.602125269,0.169291892
0.22521962,0.217250634,0.726561993
0.896381892,0.628846098,0.733528013
0.627403527,0.185293348,0.105682667
0.452194246,0.849883053,0.881209377
0.559029022,0.471724354,0.90168059
0.339062657,0.400001102,0.758766641
0.871886368,0.551046185,0.648771378
0.49349621,0.400463345,0.891452156
0.473878765,0.608451717,0.897253803
0.691596957,0.730273589,0.772709564
0.871160737,0.236985922,0.21274845
0.674734051,0.637518583,0.775603673
0.856406625,0.646020679,0.659736769
0.945174808,0.363240244,0.837955246
0.880833616,0.98932205,0.128408597
0.824935267,0.163937479,0.383243057
0.443043684,0.442513268,0.11707224
0.840578956,0.553450552,0.226716896
0.310257055,0.578700536,0.909768352
0.225569627,0.316487483,0.90928862
0.899171591,0.281157494,0.634581551
0.507889585,0.319382093,0.904036949
0.696302409,0.947630136,0.672466822
0.36798647,0.762099682,0.976763933
0.49939813,0.608196943,0.830886339
0.326656657,0.918981692,0.987339551
0.335069583,0.687064904,0.510692662
0.642610541,0.125171923,0.893274473
0.719367216,0.203944831,0.392168947
0.708181702,0.831613262,0.976711056
0.237830169,0.244412327,0.416264857
0.801838497,0.325056351,0.672020441
0.533021368,0.894298397,0.919308836
0.368109082,0.845792895,0.912870401
0.59940894,0.96703523,0.673043282
0.947114051,0.170660972,0.592937774
0.496198829,0.611628711,0.154019755
0.759504739,0.49899203,0.44507995
0.736927869,0.987895521,0.110141075
0.389478033,0.64018413,0.236044421
0.741523795,0.712444727,0.393112825
0.306536144,0.579116526,0.135062974
0.274471164,0.859066492,0.949939529
0.541531178,0.54209508,0.937860472
0.974693513,0.152465509,0.382236824
0.917353148,0.200740034,0.259779049
0.284519962,0.121003913,0.992055975
0.558465258,0.182195188,0.94472033
0.632319724,0.115185359,0.789262122
0.696527313,0.601380489,0.159029935
0.937263382,0.205796886,0.118156576
0.836615083,0.625639092,0.384771397
0.849297421,0.13648816,0.671853006
0.776293835,0.976648526,0.327357644
0.598040958,0.193995515,0.322889883
0.957909561,0.756755045,0.91287118
0.789462025,0.771406301,0.216209842
0.742865123,0.412225767,0.500877331
0.301698273,0.835401272,0.995439303
0.544835799,0.654063421,0.341024095
0.496185657,0.503752682,0.793439569
0.517611839,0.149859928,0.152944045
0.714555361,0.186118032,0.32807524
0.510426873,0.615641031,0.612783605
0.657944891,0.549584736,0.222816785
0.970502669,0.660775578,0.925865242
0.383250439,0.512978483,0.657648756
0.977189606,0.682796085,0.683710846
0.429820136,0.813727053,0.140965505
0.882898363,0.947517226,0.283091625
0.537206879,0.948611496,0.936950465
0.64784673,0.491182709,0.992376076
0.362376159,0.537136684,0.821007002
0.453273523,0.395994849,0.636685961
0.834034801,0.186504887,0.865437953
0.774050839,0.144856927,0.997564324
0.781506773,0.631937761,0.615459477
0.654658489,0.773653545,0.663500825
0.741843976,0.69932072,0.143223125
0.537029016,0.658757909,0.983076423
0.328553907,0.976069265,0.577339948
0.369118086,0.749127486,0.9372949
0.481851587,0.188978637,0.281007695
0.63796641,0.905462594,0.184065122
0.627311936,0.320486237,0.938796404
0.889444592,0.148185282,0.292065995
0.823602553,0.399563697,0.193571493
0.695391684,0.50746797,0.34780561
0.857359088,0.196842653,0.900104672
0.295570903,0.271223146,0.742413667
0.393797926,0.494093674,0.636812312
0.549049001,0.164915587,0.664041352
0.729074625,0.298885052,0.450563067
0.894135509,0.96162624,0.187633237
0.247680201,0.455204084,0.958950622
0.211988954,0.145343372,0.747410124
0.273014009,0.907161073,0.866484279
0.346093698,0.235409678,0.831786154
0.192684991,0.251291528,0.86519183
0.352757479,0.950346379,0.365640555
0.789615729,0.879847215,0.39110998
0.961964139,0.790485148,0.414831288
0.939739958,0.913058478,0.760180565
0.328287895,0.853623418,0.429767486
0.932326513,0.556035881,0.89219664
0.9770037,0.369820241,0.244476292
0.766858709,0.870941153,0.216040692
0.791414606,0.100046165,0.139376188
0.571915724,0.364988799,0.157728407
0.892503776,0.763518661,0.141388044
0.932646199,0.927499018,0.250731296
0.383567668,0.828233066,0.892215996
0.816814955,0.800578714,0.799804231
0.720681673,0.921399722,0.682013524
0.69836869,0.127844414,0.978386817
0.519972909,0.494948814,0.593481387
0.446428232,0.383895982,0.163714106
0.896463697,0.591319748,0.101774696
0.419616162,0.453908664,0.22446112
0.662628838,0.893719381,0.120040078
0.70943568,0.651871958,0.235954059
0.587980406,0.612844246,0.517488522
0.581120808,0.762829117,0.428000194
0.457279484,0.814006303,0.856041117
0.242840293,0.254558565,0.817918398
0.969964358,0.315110681,0.132419738
0.911458472,0.898686191,0.979912162
0.238327619,0.699632514,0.932855772
0.947977727,0.76841864,0.370585921
0.79010192,0.855901086,0.966236397
0.49132232,0.95543828,0.806599171
0.873528317,0.641473694,0.11834635
0.947014793,0.485190434,0.677128614
0.695931399,0.129291954,0.659881597
0.941410538,0.738474351,0.106866744
0.969721889,0.538538542,0.852477054
0.52546755,0.179737252,0.726796419
0.860831398,0.935141438,0.288784702
0.715817134,0.513069075,0.690665421
0.876516021,0.635840849,0.948054059
0.466443354,0.52209637,0.602638061
0.405342394,0.708488553,0.959706189
0.807224313,0.295271884,0.988068793
0.705003818,0.667997237,0.875763857
0.239793967,0.188110496,0.925206341
0.330389298,0.224784157,0.787940848
0.508350045,0.154966505,0.353161779
0.581367589,0.254419818,0.381592301
0.815113533,0.491034753,0.765947972
0.920148596,0.977259045,0.229659162
0.947091433,0.358049714,0.443652204
